year,topic_name,mean_theta,topic,top_terms,label_vorlaeufig,interpretation_kurz,brauchbar
2017,Topic_1,0.05457884401728429,1,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",Israel / Libanon / Hamas,NA,TRUE
2017,Topic_2,0.05251316349452346,2,"cannabis, willy, bamf, amri, bundesamt, cannabis_cannabis, bundesamtes, maaßen, verfassungsschutz, kfor",Türkei / Syrien / Irak,NA,TRUE
2017,Topic_3,0.05491013852734533,3,"ezb, chemnitz, äthiopien, bundesbank, zentralbank, ezb_ezb, eritrea, menschenrechte, aachen, zwickau",Afrika / Entwicklung / BMZ,NA,FALSE
2017,Topic_4,0.05405919919669534,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Bundesländer / Raumbezüge,NA,TRUE
2017,Topic_6,0.05200764610099856,6,"for, portugal, iwf, saarland, amazon, internationalen, esm, bmu, gap, irland",EU / Großbritannien / Kommission,NA,TRUE
2017,Topic_7,0.053400572057468565,7,"hartz, kfw, hartz_hartz, atalanta, weimarer, europol, erdogan, syrische, bundesagentur, bnd",Bundeswehr / NATO / Balkan,NA,TRUE
2017,Topic_11,0.047637538654409936,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",USA / Trump / Amerika,NA,TRUE
2017,Topic_12,0.0463251957247178,12,"rhein, chemnitz, neckar, rhein_neckar, schielke, ziesing, schielke_ziesing, sarai, djir_sarai, djir",Euro / Corona / Finanzpolitik,NA,TRUE
2017,Topic_13,0.04848213255532007,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",Ostdeutschland / Sachsen / Berlin,NA,TRUE
2017,Topic_15,0.04749867904960625,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",UN / Mali / Sahel,NA,TRUE
