year,topic_name,mean_theta,topic,top_terms,label_vorlaeufig,interpretation_kurz,brauchbar,topic_family
2017,Topic_1,0.05457884401728429,1,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",Brexit / Großbritannien / CETA,NA,TRUE,eu_grossbritannien
2017,Topic_4,0.05405919919669534,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Afghanistan / UN / Taliban,NA,TRUE,afghanistan
2017,Topic_11,0.047637538654409936,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",Nahost / Israel / Iran,NA,TRUE,nahost
2017,Topic_13,0.04848213255532007,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",DDR / Ostdeutschland,NA,TRUE,ostdeutschland
2017,Topic_15,0.04749867904960625,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",Russland / Ukraine / Osteuropa,NA,TRUE,ukraine
2018,Topic_1,0.05085388719764328,1,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",Brexit / Großbritannien / CETA,NA,TRUE,eu_grossbritannien
2018,Topic_4,0.05230946515572454,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Afghanistan / UN / Taliban,NA,TRUE,afghanistan
2018,Topic_11,0.04835225225782274,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",Nahost / Israel / Iran,NA,TRUE,nahost
2018,Topic_13,0.04820122027470236,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",DDR / Ostdeutschland,NA,TRUE,ostdeutschland
2018,Topic_15,0.04766616227650964,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",Russland / Ukraine / Osteuropa,NA,TRUE,ukraine
2019,Topic_1,0.05173518976141037,1,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",Brexit / Großbritannien / CETA,NA,TRUE,eu_grossbritannien
2019,Topic_4,0.049923302359152766,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Afghanistan / UN / Taliban,NA,TRUE,afghanistan
2019,Topic_11,0.04893010159542074,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",Nahost / Israel / Iran,NA,TRUE,nahost
2019,Topic_13,0.0520133775696882,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",DDR / Ostdeutschland,NA,TRUE,ostdeutschland
2019,Topic_15,0.04852345881685864,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",Russland / Ukraine / Osteuropa,NA,TRUE,ukraine
2020,Topic_1,0.048752817505691735,1,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",Brexit / Großbritannien / CETA,NA,TRUE,eu_grossbritannien
2020,Topic_4,0.05049191042741402,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Afghanistan / UN / Taliban,NA,TRUE,afghanistan
2020,Topic_11,0.04973663825942202,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",Nahost / Israel / Iran,NA,TRUE,nahost
2020,Topic_13,0.05087047774989381,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",DDR / Ostdeutschland,NA,TRUE,ostdeutschland
2020,Topic_15,0.0498330945779392,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",Russland / Ukraine / Osteuropa,NA,TRUE,ukraine
2021,Topic_1,0.04900873819418962,1,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",Brexit / Großbritannien / CETA,NA,TRUE,eu_grossbritannien
2021,Topic_4,0.052137761510767947,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Afghanistan / UN / Taliban,NA,TRUE,afghanistan
2021,Topic_11,0.04890114015878626,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",Nahost / Israel / Iran,NA,TRUE,nahost
2021,Topic_13,0.048350185683046415,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",DDR / Ostdeutschland,NA,TRUE,ostdeutschland
2021,Topic_15,0.05056529802531652,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",Russland / Ukraine / Osteuropa,NA,TRUE,ukraine
2022,Topic_1,0.047553816605739326,1,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",Brexit / Großbritannien / CETA,NA,TRUE,eu_grossbritannien
2022,Topic_4,0.049511799541444,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Afghanistan / UN / Taliban,NA,TRUE,afghanistan
2022,Topic_11,0.049122080666872556,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",Nahost / Israel / Iran,NA,TRUE,nahost
2022,Topic_13,0.049607724755072635,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",DDR / Ostdeutschland,NA,TRUE,ostdeutschland
2022,Topic_15,0.06006217917163908,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",Russland / Ukraine / Osteuropa,NA,TRUE,ukraine
