topic,label_vorlaeufig,top_terms,Nichtwahljahr,Wahljahr,diff_wahljahr_minus_nichtwahljahr
3,EZB / Bundesbank / Finanzpolitik,"ezb, chemnitz, äthiopien, bundesbank, zentralbank, ezb_ezb, eritrea, menschenrechte, aachen, zwickau",0.04706710389293565,0.05023033658096862,0.003163232688032973
4,Afghanistan / UN / Taliban,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",0.05012959218639622,0.052939549277454846,0.0028099570910586277
1,Brexit / Großbritannien / CETA,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",0.0493431854300348,0.0513330616634429,0.0019898762334081
6,EU / IWF / internationale Wirtschaft,"for, portugal, iwf, saarland, amazon, internationalen, esm, bmu, gap, irland",0.049707814625095464,0.0512711317214029,0.0015633170963074358
7,Hartz / KfW / Sicherheit,"hartz, kfw, hartz_hartz, atalanta, weimarer, europol, erdogan, syrische, bundesagentur, bnd",0.049423685145330146,0.05085351389975533,0.001429828754425183
2,Innere Sicherheit / BAMF / Cannabis,"cannabis, willy, bamf, amri, bundesamt, cannabis_cannabis, bundesamtes, maaßen, verfassungsschutz, kfor",0.04957999704823953,0.05071774102245338,0.001137743974213852
18,Mittelmeer / Libyen,"mittelmeer, libyen, öpnv, sea, öpnv_öpnv, tunesien, libyen_libyen, sophia, irini, libyschen",0.049293407862951485,0.04992724982133146,6.338419583799756e-4
19,Sahel / MINUSMA / Auslandseinsatz,"welle, minusma, malischen, welle_welle, venezuela, eutm, the, demokratischen, malische, youtube",0.04945905901847501,0.04954790863248283,8.884961400781877e-5
5,Afrika / Saudi-Arabien / Jemen,"afrika, saudi, arabien, saudi_arabien, afrikanischen, afrika_afrika, jemen, schwedt, afrikanische, katar",0.05013354734350526,0.04983083366290876,-3.027136805964989e-4
9,Karlsruhe / Energie / Kontrolle,"karlsruhe, ausschusses, lausitz, bundesrechnungshof, bundesrates, fiu, long, energie, hannover, karlsruhe_karlsruhe",0.05008208636457554,0.04977159661561112,-3.1048974896442233e-4
8,Bundeswehr / NATO / Auslandseinsätze,"bundeswehr, bundeswehr_bundeswehr, myanmar, bundeswehr_nato, nato_bundeswehr, ksk, roma, yücel, six, bangladesch",0.04992352125142366,0.04955201583599977,-3.7150541542389087e-4
17,Green Deal / Paris / Lateinamerika,"paris, pariser, brasilien, europarat, green, erde, ostsee, deal, green_deal, lateinamerika",0.04988749935342076,0.04926207351052791,-6.254258428928516e-4
14,Rechtsextremismus / Hanau / Lübcke,"hass, hanau, eugh, zeitung, frankfurter, lübcke, halle, sgb, antifa, faz",0.050223590975797094,0.049495127453653934,-7.284635221431607e-4
20,NATO / USA / Osteuropa,"nato, staaten, vereinigten, vereinigten_staaten, schweden, nato_nato, donald, osteuropa, finnland, washington",0.05022758005451524,0.04934613287598109,-8.814471785341532e-4
16,China / Weltwirtschaft,"dollar, bayerischen, chinesischen, bayerische, chinesische, tschechien, chinas, oecd, australien, chinesen",0.05006610938322613,0.049132347350992527,-9.337620322336024e-4
10,Freie Demokraten / Krise / Verwaltung,"demokraten, freien, freien_demokraten, act, hohen, lufthansa, ukrainekrieg, bmg, bmwk, schweizer",0.050164290953909604,0.04914745611866563,-0.0010168348352439724
11,Nahost / Israel / Iran,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",0.04977654180515977,0.04837385778288807,-0.0014026840222716996
12,Chemnitz / Regionalbezüge,"rhein, chemnitz, neckar, rhein_neckar, schielke, ziesing, schielke_ziesing, sarai, djir_sarai, djir",0.05299045954840611,0.05157717809421509,-0.0014132814541910205
13,DDR / Ostdeutschland,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",0.050363479046013133,0.048405245177724,-0.0019582338682891318
15,Russland / Ukraine / Osteuropa,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",0.05215744871059003,0.04928564290153996,-0.002871805809050075
