Partei,Topic,Thema,Nichtwahljahr (%),Wahljahr (%),Differenz (%)
AfD,T1,Brexit / Großbritannien / CETA,5.08,5.01,-0.07
CDU/CSU,T1,Brexit / Großbritannien / CETA,5.02,5.43,0.41
FDP,T1,Brexit / Großbritannien / CETA,4.95,5.03,0.08
Grüne,T1,Brexit / Großbritannien / CETA,4.84,4.98,0.14
Linke,T1,Brexit / Großbritannien / CETA,4.89,5.25,0.36
SPD,T1,Brexit / Großbritannien / CETA,4.84,5.24,0.4
AfD,T2,Innere Sicherheit / BAMF / Cannabis,5.04,4.97,-0.07
CDU/CSU,T2,Innere Sicherheit / BAMF / Cannabis,4.92,4.97,0.05
FDP,T2,Innere Sicherheit / BAMF / Cannabis,4.81,4.8,-0.01
Grüne,T2,Innere Sicherheit / BAMF / Cannabis,4.8,5.16,0.36
Linke,T2,Innere Sicherheit / BAMF / Cannabis,4.86,5.16,0.3
SPD,T2,Innere Sicherheit / BAMF / Cannabis,4.92,5.01,0.09
AfD,T3,EZB / Bundesbank / Finanzpolitik,4.83,4.72,-0.11
CDU/CSU,T3,EZB / Bundesbank / Finanzpolitik,4.64,4.93,0.29
FDP,T3,EZB / Bundesbank / Finanzpolitik,4.65,4.61,-0.04
Grüne,T3,EZB / Bundesbank / Finanzpolitik,4.63,5.06,0.43
Linke,T3,EZB / Bundesbank / Finanzpolitik,4.6,4.77,0.18
SPD,T3,EZB / Bundesbank / Finanzpolitik,4.65,5.06,0.42
AfD,T4,Afghanistan / UN / Taliban,4.99,5.35,0.37
CDU/CSU,T4,Afghanistan / UN / Taliban,5.01,5.37,0.35
FDP,T4,Afghanistan / UN / Taliban,4.99,5.37,0.38
Grüne,T4,Afghanistan / UN / Taliban,5.24,5.58,0.34
Linke,T4,Afghanistan / UN / Taliban,5.03,5.22,0.19
SPD,T4,Afghanistan / UN / Taliban,5.03,5.5,0.47
AfD,T5,Afrika / Saudi-Arabien / Jemen,5.15,5.02,-0.13
CDU/CSU,T5,Afrika / Saudi-Arabien / Jemen,5.03,5.04,0.01
FDP,T5,Afrika / Saudi-Arabien / Jemen,4.91,4.93,0.02
Grüne,T5,Afrika / Saudi-Arabien / Jemen,5.06,5.09,0.03
Linke,T5,Afrika / Saudi-Arabien / Jemen,5.25,5.19,-0.06
SPD,T5,Afrika / Saudi-Arabien / Jemen,4.91,4.85,-0.06
AfD,T6,EU / IWF / internationale Wirtschaft,5.02,5.18,0.16
CDU/CSU,T6,EU / IWF / internationale Wirtschaft,4.88,5.04,0.16
FDP,T6,EU / IWF / internationale Wirtschaft,4.85,5,0.15
Grüne,T6,EU / IWF / internationale Wirtschaft,4.99,5.09,0.1
Linke,T6,EU / IWF / internationale Wirtschaft,5.12,5.34,0.22
SPD,T6,EU / IWF / internationale Wirtschaft,4.94,5.09,0.15
AfD,T7,Hartz / KfW / Sicherheit,4.94,5.13,0.18
CDU/CSU,T7,Hartz / KfW / Sicherheit,4.92,5.05,0.13
