party,year,topic,label_vorlaeufig,mean_gamma,percent
AfD,2017,1,Brexit / Großbritannien / CETA,0.06084105498676497,6.08
AfD,2017,4,Afghanistan / UN / Taliban,0.07988497412866082,7.99
AfD,2017,7,Hartz / KfW / Sicherheit,0.07013187358412833,7.01
AfD,2017,15,Russland / Ukraine / Osteuropa,0.043856335518863844,4.39
AfD,2017,20,NATO / USA / Osteuropa,0.05311073225234494,5.31
AfD,2018,1,Brexit / Großbritannien / CETA,0.05269421813108784,5.27
AfD,2018,4,Afghanistan / UN / Taliban,0.05211431246266437,5.21
AfD,2018,7,Hartz / KfW / Sicherheit,0.05040923206135342,5.04
AfD,2018,15,Russland / Ukraine / Osteuropa,0.04765141322665534,4.77
AfD,2018,20,NATO / USA / Osteuropa,0.051420126313023985,5.14
AfD,2019,1,Brexit / Großbritannien / CETA,0.053971426432207086,5.4
AfD,2019,4,Afghanistan / UN / Taliban,0.04897025729469048,4.9
AfD,2019,7,Hartz / KfW / Sicherheit,0.05052999748852747,5.05
AfD,2019,15,Russland / Ukraine / Osteuropa,0.04919620340029019,4.92
AfD,2019,20,NATO / USA / Osteuropa,0.05298626809104057,5.3
AfD,2020,1,Brexit / Großbritannien / CETA,0.05031907025230811,5.03
AfD,2020,4,Afghanistan / UN / Taliban,0.050245904448999804,5.02
AfD,2020,7,Hartz / KfW / Sicherheit,0.0502721966549534,5.03
AfD,2020,15,Russland / Ukraine / Osteuropa,0.05166486216466793,5.17
AfD,2020,20,NATO / USA / Osteuropa,0.04988224006590241,4.99
AfD,2021,1,Brexit / Großbritannien / CETA,0.049123284759139005,4.91
AfD,2021,4,Afghanistan / UN / Taliban,0.05104236634263977,5.1
AfD,2021,7,Hartz / KfW / Sicherheit,0.049467424204969516,4.95
AfD,2021,15,Russland / Ukraine / Osteuropa,0.05149094391003379,5.15
AfD,2021,20,NATO / USA / Osteuropa,0.05050315313275584,5.05
AfD,2022,1,Brexit / Großbritannien / CETA,0.048272504070213225,4.83
AfD,2022,4,Afghanistan / UN / Taliban,0.049856365554377106,4.99
AfD,2022,7,Hartz / KfW / Sicherheit,0.0487862340073872,4.88
AfD,2022,15,Russland / Ukraine / Osteuropa,0.061404963469159815,6.14
AfD,2022,20,NATO / USA / Osteuropa,0.051723762246510444,5.17
AfD,2023,1,Brexit / Großbritannien / CETA,0.04922654233335437,4.92
AfD,2023,4,Afghanistan / UN / Taliban,0.04859166206914741,4.86
